index,requested_amplitude,requested_phase_deg,input_i,input_q,input_magnitude,input_phase_deg,output_i,output_q,output_magnitude,output_phase_deg,phase_shift_deg,gain
141,15750,-135,-11137,-11137,15750.09644414916,-135.0,-2228,-6683,7044.605950654728,-108.4375207930919,26.562479206908094,0.44727382944195593
142,15750,-90,0,-15750,15750.0,-90.0,3150,-6301,7044.508570510792,-63.43858618830013,26.56141381169987,0.4472703854292566
143,15750,-45,11137,-11137,15750.09644414916,-45.0,6682,-2228,7043.657288653389,-18.4400934560691,26.5599065439309,0.44721359730276217
144,16625,0,16625,0,16625.0,0.0,6650,3325,7434.926025186801,26.56505117707799,26.56505117707799,0.4472135954999579
145,16625,45,11756,11756,16625.494639258104,45.0,2351,7054,7435.4634690784405,71.5674879473531,26.5674879473531,0.447232616557521
146,16625,90,0,16625,16625.0,90.0,-3326,6650,7435.3732925791965,116.57194348782463,26.571943487824626,0.4472404988017562
147,16625,135,-11756,11756,16625.494639258104,135.0,-7055,2351,7436.412172546651,161.56992409588858,26.56992409588858,0.4472896797300037
148,16625,180,-16625,0,16625.0,180.0,-6651,-3326,7436.2676794209065,-153.43150308203653,26.568496917963444,0.4472942965065207
149,16625,-135,-11756,-11756,16625.494639258104,-135.0,-2352,-7055,7436.728380141364,-108.43738517872754,26.56261482127246,0.44730869916982036
150,16625,-90,0,-16625,16625.0,-90.0,3325,-6651,7435.820465826216,-63.43839477104519,26.56160522895481,0.44726739644067465
151,16625,-45,11756,-11756,16625.494639258104,-45.0,7054,-2352,7435.779717016905,-18.439822156202176,26.560177843797824,0.44725163842395727
152,17500,0,17500,0,17500.0,0.0,7000,3500,7826.237921249264,26.56505117707799,26.56505117707799,0.4472135954999579
153,17500,45,12374,12374,17499.47862080468,45.0,2475,7424,7825.688532007903,71.56273591545106,26.562735915451057,0.44719552516862665
154,17500,90,0,17500,17500.0,90.0,-3501,7000,7826.685185951968,116.57159889198155,26.57159889198155,0.4472391534829696
155,17500,135,-12374,12374,17499.47862080468,135.0,-7425,2475,7826.637208916739,161.565051177078,26.565051177078004,0.44724973689283815
156,17500,180,-17500,0,17500.0,180.0,-7001,-3501,7827.579574811105,-153.43167533955057,26.568324660449434,0.44729026141777745
157,17500,-135,-12374,-12374,17499.47862080468,-135.0,-2476,-7425,7826.9534941763895,-108.44189348526687,26.558106514733126,0.44726781087472667
158,17500,-90,0,-17500,17500.0,-90.0,3500,-7001,7827.132361216335,-63.4382224933283,26.561777506671703,0.44726470635521914
159,17500,-45,12374,-12374,17499.47862080468,-45.0,7424,-2476,7826.004855608,-18.444209495140235,26.555790504859765,0.4472136013414631
160,18375,0,18375,0,18375.0,0.0,7350,3675,8217.549817311727,26.56505117707799,26.56505117707799,0.4472135954999579
161,18375,45,12993,12993,18374.876815913623,45.0,2598,7796,8217.494752051869,71.56946091920068,26.56946091920068,0.4472135968245012
162,18375,90,0,18375,18375.0,90.0,-3676,7350,8217.997079580888,116.57128711300386,26.571287113003862,0.4472379363037218
163,18375,135,-12993,12993,18374.876815913623,135.0,-7797,2598,8218.443465766495,161.57166502669804,26.571665026698042,0.4472652278489772
164,18375,180,-18375,0,18375.0,180.0,-7351,-3676,8218.891470265318,-153.4318311942651,26.5681688057349,0.447286610626684
165,18375,-135,-12993,-12993,18374.876815913623,-135.0,-2599,-7797,8218.759638777618,-108.43494882292202,26.565051177077976,0.4472824346588127
166,18375,-90,0,-18375,18375.0,-90.0,3675,-7351,8218.44425667048,-63.438066621227314,26.561933378772686,0.44726227247186284
167,18375,-45,12993,-12993,18374.876815913623,-45.0,7796,-2599,8217.810961563913,-18.437153609141458,26.562846390858542,0.4472308056207947
168,19250,0,19250,0,19250.0,0.0,7700,3850,8608.86171337419,26.56505117707799,26.56505117707799,0.4472135954999579
169,19250,45,13612,13612,19250.27501102257,45.0,2722,8167,8608.668480084478,71.56715585986414,26.567155859864144,0.44719716861993997
170,19250,90,0,19250,19250.0,90.0,-3851,7700,8609.308973431027,116.57100367609695,26.57100367609695,0.4472368297886248
171,19250,135,-13612,13612,19250.27501102257,135.0,-8168,2722,8609.617180804265,161.56926007881972,26.569260078819724,0.44724645107015143
172,19250,180,-19250,0,19250.0,180.0,-7701,-3851,8610.203365774818,-153.43197288257707,26.568027117422957,0.44728329172856196
